query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7078,'Ajjampura',532);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (607,'Ajmer',86);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (255,'Ajnala',27);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4292,'Ajra',480);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3278,'Akaltara',379);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (845,'Akbarpur',156);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (910,'Akbarpur',121);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1519,'Akbarpur',210);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7524,'Akberpet-Bhoompally',692);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (78,'Akhnoor',5);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4975,'Akividu',523);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4254,'Akkalkot',496);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3950,'Akkalkuwa',486);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6285,'Akkannapet',692);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (680,'Aklera',105);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3991,'Akola',467);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4201,'Akole',466);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1472,'Akorhi Gola',215);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3989,'Akot',467);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3951,'Akrani',486);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1774,'Akuhaito',251);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1768,'Akuluto',251);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4617,'Alair',697);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1169,'Alamnagar',205);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6900,'Alampur',18);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4612,'Alampur',695);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4925,'Alamuru',747);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5580,'Aland',538);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5704,'Alandur',568);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5824,'Alangudi',582);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5875,'Alangulam',733);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5951,'Alathur',581);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (5651,'Alathur',563);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1322,'Alauli',202);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2715,'Albert Ekka(Jari)',331);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (6409,'Alewa',65);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2106,'Algapur',289);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4177,'Alibag',491);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1007,'Aliganj',138);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (7371,'Aligarh',116);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (1187,'Alinagar',195);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2173,'Alipurduar - I',664);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (2174,'Alipurduar - II',664);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (3713,'Alirajpur',639);; affectedRows: 1
query: INSERT IGNORE INTO def_geo_subdistricts(subdistrict_id, subdistrict_name, district_id) VALUES (4470,'Alladurg',513);; affectedRows: 1
