query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (244,18,'Bongaigaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (245,18,'Cachar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (277403,18,'Charaideo');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (246,18,'Darrang');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (247,18,'Dhemaji');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (248,18,'Dhubri');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (249,18,'Dibrugarh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (250,18,'Goalpara');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (251,18,'Golaghat');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (252,18,'Hailakandi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (277404,18,'Hojai');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (253,18,'Jorhat');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (254,18,'Kamrup');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (562,18,'Kamrup Metro');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (256,18,'Lakhimpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (277405,18,'Majuli');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (257,18,'Marigaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (258,18,'Nagaon');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (259,18,'Nalbari');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (260,18,'Sivasagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (261,18,'Sonitpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (277406,18,'South Salmara Mankachar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (255,18,'Sribhumi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (262,18,'Tinsukia');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (179,10,'Araria');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (561,10,'Arwal');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (180,10,'Aurangabad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (181,10,'Banka');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (182,10,'Begusarai');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (183,10,'Bhagalpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (184,10,'Bhojpur');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (185,10,'Buxar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (186,10,'Darbhanga');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (187,10,'Gaya');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (188,10,'Gopalganj');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (189,10,'Jamui');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (190,10,'Jehanabad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (191,10,'Kaimur (Bhabua)');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (192,10,'Katihar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (193,10,'Khagaria');; affectedRows: 1
