query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Kunnamkulam' AND local_body_id='252180';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Malappuram' AND local_body_id='252170';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Mananthavady' AND local_body_id='272910';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Manjeri' AND local_body_id='252169';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Mannarkad' AND local_body_id='272907';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Maradu' AND local_body_id='252226';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Mattannur' AND local_body_id='252139';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Mavelikkara' AND local_body_id='252250';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Mukkom' AND local_body_id='272898';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Muvattupuzha' AND local_body_id='252230';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Nedumangad' AND local_body_id='252259';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Neyyattinkara' AND local_body_id='252261';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Nilambur' AND local_body_id='259710';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Nileshwar' AND local_body_id='259711';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Ottappalam' AND local_body_id='252175';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Palai' AND local_body_id='252234';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Palakkad' AND local_body_id='252176';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Pandalam' AND local_body_id='272908';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Panoor' AND local_body_id='272885';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Parappanangadi' AND local_body_id='272912';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Paravoor' AND local_body_id='252256';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='MUNICIPALITY' WHERE local_body_name='Paravur' AND local_body_id='252215';; affectedRows: 1
