query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Basugaon' AND local_body_id='249823';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Bijni' AND local_body_id='249839';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Bilasipara Tc' AND local_body_id='300488';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Bokajan' AND local_body_id='249926';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Bokakhat Tc' AND local_body_id='300494';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Chabua' AND local_body_id='249898';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Chapakhowa' AND local_body_id='259861';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Chapar Tc' AND local_body_id='300489';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Chapar Tc' AND local_body_id='300490';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Deithor Town Committee' AND local_body_id='299966';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Demow' AND local_body_id='277146';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Dhakuakhana' AND local_body_id='253211';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Dhemaji' AND local_body_id='249883';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Digboi' AND local_body_id='249890';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Diphu' AND local_body_id='249925';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Doboka' AND local_body_id='249871';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Dokmoka' AND local_body_id='249928';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Dolamara Town Committee' AND local_body_id='299967';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Donkamokam' AND local_body_id='249924';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Doom Dooma' AND local_body_id='249886';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Gauripur' AND local_body_id='249826';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Gohpur' AND local_body_id='249880';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Golokganj Tc' AND local_body_id='300491';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Goreswar' AND local_body_id='277147';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Gossaigaon' AND local_body_id='249821';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Haflong' AND local_body_id='249930';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Hamren' AND local_body_id='249923';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Howli' AND local_body_id='249844';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Howraghat' AND local_body_id='249927';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Jamugurihat Tc' AND local_body_id='300493';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Kajalgaon Tc' AND local_body_id='296999';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Kampur Town' AND local_body_id='249869';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Kharupatia' AND local_body_id='249861';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Lakhipur Tc' AND local_body_id='300492';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Lala' AND local_body_id='249945';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Langhin' AND local_body_id='277148';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Lanka Mb' AND local_body_id='300495';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Mahur' AND local_body_id='249931';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Maibong' AND local_body_id='249932';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Makum' AND local_body_id='249887';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Manja Town Committee' AND local_body_id='299968';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Margherita' AND local_body_id='249892';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Mariani' AND local_body_id='249915';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Naharkatiya' AND local_body_id='249903';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Namrup' AND local_body_id='249904';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Narayanpur' AND local_body_id='253212';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='North Guwahati' AND local_body_id='249855';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Patacharkuchi' AND local_body_id='262892';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Pathsala' AND local_body_id='249847';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Phuloni Centre Town Committee' AND local_body_id='299969';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Raha' AND local_body_id='271990';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Ramkrishna Nagar' AND local_body_id='277150';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Rangapara' AND local_body_id='249876';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Rongmongve Town Committee' AND local_body_id='299970';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Samelangso Town Committee' AND local_body_id='299971';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sapatgram' AND local_body_id='249828';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sarbhog' AND local_body_id='249842';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sarthebari' AND local_body_id='249846';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sarupathar' AND local_body_id='249921';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Silapathar' AND local_body_id='249884';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Simaluguri' AND local_body_id='253214';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sonai' AND local_body_id='277152';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Sootea' AND local_body_id='277151';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Tangla' AND local_body_id='249859';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Teoktc' AND local_body_id='263017';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Tihu' AND local_body_id='249857';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Titabor Town' AND local_body_id='249916';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Udalguri' AND local_body_id='249862';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Committee' WHERE local_body_name='Umrangso' AND local_body_id='249929';; affectedRows: 1
