query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Somvarpet' AND local_body_id='252038';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Sringeri' AND local_body_id='251959';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Srirampura' AND local_body_id='299325';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Sulya' AND local_body_id='252036';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Tavaragera' AND local_body_id='276601';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Tekkalakote' AND local_body_id='251926';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Tikota' AND local_body_id='297131';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Tirthahalli' AND local_body_id='251950';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Turuvekere' AND local_body_id='251976';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Turvihal' AND local_body_id='276524';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Vemgal-Kurugol' AND local_body_id='301054';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Vitla' AND local_body_id='276554';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Yadrami' AND local_body_id='297132';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Yaragatti' AND local_body_id='299330';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Yelandur' AND local_body_id='252055';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Yelburga' AND local_body_id='251879';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Town Panchayat' WHERE local_body_name='Yellapur' AND local_body_id='251903';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Arsikere' AND local_body_id='252010';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Bagalkot' AND local_body_id='251839';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Basavakalyan' AND local_body_id='251864';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Bhadravati' AND local_body_id='251952';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Bhatkal' AND local_body_id='251911';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Challakere' AND local_body_id='251933';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Chamarajanagar' AND local_body_id='252054';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Channapatna' AND local_body_id='253185';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Chik Ballapur' AND local_body_id='251979';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Chikkamagaluru' AND local_body_id='251965';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Chintamani' AND local_body_id='251983';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Chitradurga' AND local_body_id='251934';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Dandeli' AND local_body_id='251899';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Dod Ballapur' AND local_body_id='251992';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Gadag-Betigeri' AND local_body_id='251888';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Gangawati' AND local_body_id='251881';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='City Municipal Council' WHERE local_body_name='Gauribidanur' AND local_body_id='251978';; affectedRows: 1
