query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Purola' AND local_body_id='262841';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ramnagar' AND local_body_id='248457';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Ranikhet Chiliyanaula' AND local_body_id='277190';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Rudraprayag' AND local_body_id='248419';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Shivalik Nagar' AND local_body_id='262858';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sirauli Kalan' AND local_body_id='305322';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Sitarganj' AND local_body_id='248476';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tanakpur' AND local_body_id='248452';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Tehri' AND local_body_id='248422';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Vikasnagar' AND local_body_id='248427';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Augustmuni' AND local_body_id='262902';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Badrinathpuri' AND local_body_id='248412';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Banbasa' AND local_body_id='262922';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Bhagwanpur' AND local_body_id='262847';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Bhikiyasain' AND local_body_id='274457';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Chamiyala' AND local_body_id='277163';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Chaukhutiya' AND local_body_id='297128';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Dhandera' AND local_body_id='299524';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Dineshpur' AND local_body_id='248470';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Dwarahat' AND local_body_id='248448';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Gairsain' AND local_body_id='260112';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Gaja' AND local_body_id='277164';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Gangotri' AND local_body_id='248411';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Garhinegi' AND local_body_id='301880';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Garud' AND local_body_id='299525';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Ghansali' AND local_body_id='262832';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Gularbhoj' AND local_body_id='277162';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Guptkashi' AND local_body_id='301881';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Imlikhera' AND local_body_id='300431';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Jhabrera' AND local_body_id='248481';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Kapkot' AND local_body_id='259921';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Kedarnath' AND local_body_id='248418';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Kela Khera' AND local_body_id='248468';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Kirtinagar' AND local_body_id='248420';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Lalkuan' AND local_body_id='248460';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Lalpur' AND local_body_id='299527';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Lambgaon' AND local_body_id='277183';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Landhaura' AND local_body_id='248483';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Mahua Dabra Haripura' AND local_body_id='248461';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat' WHERE local_body_name='Munsyari' AND local_body_id='301879';; affectedRows: 1
