query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gobichettipalayam' AND local_body_id='252547';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gudalur' AND local_body_id='252596';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gudalur' AND local_body_id='252639';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gudalur-Cbe' AND local_body_id='252920';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gudiyatham' AND local_body_id='252351';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Harur' AND local_body_id='252413';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jayankondam' AND local_body_id='252765';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jolarpet' AND local_body_id='252397';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kadayanallur' AND local_body_id='252994';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kalakadu' AND local_body_id='300593';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kallakurichi' AND local_body_id='252451';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kangeyam' AND local_body_id='290455';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kanniyakumari' AND local_body_id='253091';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Karaikudi' AND local_body_id='252863';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Karamadai' AND local_body_id='252613';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Karumathampatti' AND local_body_id='252628';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kayalpattinam' AND local_body_id='252980';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Keelakarai' AND local_body_id='252958';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kodaikanal' AND local_body_id='252713';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kollancode' AND local_body_id='253042';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Komarapalayam' AND local_body_id='252499';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Koothanallur' AND local_body_id='252810';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kotagiri' AND local_body_id='252601';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kottakuppam' AND local_body_id='252440';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kovilpatti' AND local_body_id='252962';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Krishnagiri' AND local_body_id='252402';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kulithalai' AND local_body_id='252731';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kundrathur' AND local_body_id='252298';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kuzhithurai' AND local_body_id='253038';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Lalgudi' AND local_body_id='252747';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Madukkarai' AND local_body_id='252665';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Madurantakam' AND local_body_id='252347';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mamallapuram' AND local_body_id='252344';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Manamadurai' AND local_body_id='252868';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Manapparai' AND local_body_id='252757';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mangadu' AND local_body_id='252295';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mannargudi' AND local_body_id='252811';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Maraimalainagar' AND local_body_id='252330';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Mayiladuthurai' AND local_body_id='252794';; affectedRows: 1
