query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gobindgarh' AND local_body_id='248329';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Goniana' AND local_body_id='248364';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Goraya' AND local_body_id='248292';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Gurdaspur' AND local_body_id='248260';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Guru Har Sahai' AND local_body_id='248352';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Hariana' AND local_body_id='248306';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jagraon' AND local_body_id='248343';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jaitu' AND local_body_id='248362';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jalalabad' AND local_body_id='248353';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Jandiala Guru' AND local_body_id='248272';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kartarpur' AND local_body_id='248299';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Khanna' AND local_body_id='248334';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kharar' AND local_body_id='248324';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kot Fatta' AND local_body_id='248369';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kot Kapura' AND local_body_id='248361';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Kurali' AND local_body_id='248321';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Lalru' AND local_body_id='277203';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Lehragaga' AND local_body_id='248391';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Longowal' AND local_body_id='248385';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Machhiwara' AND local_body_id='248333';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality' WHERE local_body_name='Malerkotla' AND local_body_id='248383';; affectedRows: 1
